ID,TaskTitle,ListTitle,Location,Times,LocShare
12693542,check into hotel,saturday,public,WE-morning,1.0
10169250,upload instagram,today,"home,work",WD-evening,1.0
5030401,workflow meeting,work,work,WD-afternoon,1.0
7791027,buy new water filters,default list,public,WE-afternoon,1.0
4987212,calc quiz sunday,default list,"home,work",WE-morning,1.0
7625228,clean kitchen counter,thursday,home,WD-evening,1.0
10482829,project app,default list,"home,work",WD-afternoon,1.0
5834442,set up desk,monday,work,WD-morning,1.0
6237932,clean oil diffuser,to do,home,WD-evening,1.0
2178592,comcast business,default list,work,WD-morning,1.0
5018056,paint pink room,house,home,WE-morning,1.0
6833393,post mortem notes,default list,"home,work",WD-afternoon,1.0
5116870,send car for repair,default list,public,WE-morning,1.0
5158386,set up auto pay,today,"home,work",WD-evening,1.0
12320602,vacuum guest room,house chores,home,WE-morning,1.0
12165548,clean kitchen weekly,chores,home,WE-morning,1.0
1028054,physics packet,work,work,WD-morning,1.0
12093603,finish diapers,to do,home,WD-evening,1.0
5794894,hesi exam,default list,work,WD-afternoon,1.0
8397907,deposit church check,to do,public,WD-afternoon,1.0
5673315,deposit checks at chase,to do,public,WD-afternoon,1.0
11861924,get grades,work,work,WD-afternoon,1.0
11114280,staff meeting follow up,default list,work,WD-afternoon,1.0
9293301,build kallax,to do,home,WE-afternoon,1.0
5971347,get biz cards,work,"home,work",WD-afternoon,1.0
7707119,submit conference receipts,default list,work,WD-afternoon,1.0
9561810,make a chair,default list,home,WE-afternoon,1.0
10735293,client server,work,work,WD-afternoon,1.0
5585021,sweep pool,home,home,WE-morning,1.0
12801109,lists,now,"home,work",WD-morning,1.0
10892357,pick up acne meds,default list,public,WD-evening,1.0
4100671,office issues,default list,work,WD-afternoon,1.0
4707934,update budget plan,default list,"home,work",WD-afternoon,1.0
3911209,reorganization,work,work,WD-afternoon,1.0
3029357,bring from office,default list,work,WD-evening,1.0
12157581,sped mtg,default list,work,WD-afternoon,1.0
8103200,get up for school,default list,home,WD-morning,1.0
7964486,tabcorp,work,work,WD-afternoon,1.0
10318665,organize guest room closet,today,home,WD-evening,1.0
10205801,schedule carpet cleaning,tuesday,home,WD-evening,1.0
2398129,stericycle,work,work,WD-afternoon,1.0
8193429,clean sunroom,housework,home,WE-morning,1.0
9021720,transfer pictures,to do today,"home,work",WD-evening,1.0
3605804,cash the check,default list,public,WD-afternoon,1.0
10668616,jim s email,default list,"home,work",WD-afternoon,1.0
8233358,history exam,today,work,WD-afternoon,1.0
6686568,goldwater scholarship,default list,work,WD-afternoon,1.0
3376117,push code,work,work,WD-afternoon,1.0
6510758,meeting at 02,work,work,WD-afternoon,1.0
11221379,leave money for cleaners,home,home,WD-morning,1.0
9957698,get sheetrock,default list,home,WE-afternoon,1.0
11714151,clean bonus room,chores,home,WE-morning,1.0
6158305,organise cupboards,today,home,WD-evening,1.0
10937969,sort out next week,default list,"home,work",WD-evening,1.0
3255591,charger from office,default list,work,WD-evening,1.0
12770175,curriculum letter,default list,"home,work",WD-afternoon,1.0
6466381,c mince,groceries,public,WE-afternoon,1.0
10801167,haircut friday,family,public,WD-evening,1.0
5619235,back fence,house to do,home,WE-morning,1.0
5747168,pick up bag from office,default list,work,WD-afternoon,1.0
5031181,hair thursday,to do,public,WD-evening,1.0
10137869,mattress disposal,home,home,WE-morning,1.0
11449530,organize living room,house chores,home,WE-afternoon,1.0
11560449,tutoring tuesday,default list,"home,work",WD-afternoon,1.0
5610377,plant pansies,default list,home,WE-morning,1.0
2709431,pick up dry cleaning on friday,default list,public,WD-evening,1.0
9344954,backup documents,to do,"home,work",WD-evening,1.0
12135811,salaries sheet,default list,work,WD-afternoon,1.0
5456851,school conferences,default list,work,WD-afternoon,1.0
11954900,ask about half day,default list,work,WD-morning,1.0
4652987,put lights outside,default list,home,WE-morning,1.0
9973562,cfa membership,to do,"home,work",WD-afternoon,1.0
1009479,plan saturday,work,"home,work",WD-evening,1.0
9635347,pull tree,default list,home,WE-morning,1.0
8885424,go to school,tasks,work,WD-morning,1.0
4424532,mtk,work,work,WD-morning,1.0
11931690,break down recycling,today,home,WD-evening,1.0
12262986,get checks for checkbook,default list,public,WD-afternoon,1.0
6784115,follow up with heather,work,"home,work",WD-afternoon,1.0
12880618,nursery days,to do,work,WD-morning,1.0
6896177,haircut 10,default list,public,WE-morning,1.0
10286163,fill out evals,default list,work,WD-afternoon,1.0
6213183,find substitute,default list,"home,work",WD-afternoon,1.0
5128803,deposit the check,work,public,WD-afternoon,1.0
7378990,install tires,today,public,WE-morning,1.0
10000793,clean bathroom fan,weekend,home,WE-afternoon,1.0
